COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100097880	1000060	FACTURA_NO_ENCONTRADA
RB	100097881	1000060	FACTURA_NO_ENCONTRADA
RB	100097884	1000060	FACTURA_NO_ENCONTRADA
RB	100097887	1000060	FACTURA_NO_ENCONTRADA
RB	100097892	1000060	FACTURA_NO_ENCONTRADA
RB	100097900	1000060	FACTURA_NO_ENCONTRADA
RB	100097921	1000061	FACTURA_NO_ENCONTRADA
RB	100097923	1000061	FACTURA_NO_ENCONTRADA
RB	100097927	1000061	FACTURA_NO_ENCONTRADA
RB	100097927	1000061	FACTURA_NO_ENCONTRADA
RB	100097927	1000061	FACTURA_NO_ENCONTRADA
RB	100097931	1000061	FACTURA_NO_ENCONTRADA
RB	100097931	1000061	FACTURA_NO_ENCONTRADA
RB	100097931	1000061	FACTURA_NO_ENCONTRADA
RB	100097938	1000063	FACTURA_NO_ENCONTRADA
RB	100097938	1000063	FACTURA_NO_ENCONTRADA
RB	100097945	1000065	FACTURA_NO_ENCONTRADA
RB	100097950	1000065	FACTURA_NO_ENCONTRADA
RB	100097959	1000067	FACTURA_NO_ENCONTRADA
RB	100097965	1000067	FACTURA_NO_ENCONTRADA
RB	100097966	1000067	FACTURA_NO_ENCONTRADA
RB	100097974	1000069	FACTURA_NO_ENCONTRADA
RB	100097975	1000069	FACTURA_NO_ENCONTRADA
RB	100097976	1000069	FACTURA_NO_ENCONTRADA
RB	100097979	1000069	FACTURA_NO_ENCONTRADA
RB	100097980	1000069	FACTURA_NO_ENCONTRADA
RB	100097980	1000069	FACTURA_NO_ENCONTRADA
RB	100097981	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097986	1000069	FACTURA_NO_ENCONTRADA
RB	100097991	1000070	FACTURA_NO_ENCONTRADA
RB	100097992	1000070	FACTURA_NO_ENCONTRADA
RB	100097992	1000070	FACTURA_NO_ENCONTRADA
RB	100097992	1000070	FACTURA_NO_ENCONTRADA
RB	100098013	1000071	FACTURA_NO_ENCONTRADA
RB	100098018	1000071	FACTURA_NO_ENCONTRADA
RB	100098023	1000071	FACTURA_NO_ENCONTRADA
RB	100098023	1000071	FACTURA_NO_ENCONTRADA
RB	100098027	1000072	FACTURA_NO_ENCONTRADA
RB	100098027	1000072	FACTURA_NO_ENCONTRADA
RB	100098031	1000072	FACTURA_NO_ENCONTRADA
RB	100098034	1000072	FACTURA_NO_ENCONTRADA
RB	100098034	1000072	FACTURA_NO_ENCONTRADA
RB	100098034	1000072	FACTURA_NO_ENCONTRADA
RB	100098044	1000073	FACTURA_NO_ENCONTRADA
RB	100098046	1000073	FACTURA_NO_ENCONTRADA
RB	100098069	1000073	FACTURA_NO_ENCONTRADA
RB	100098069	1000073	FACTURA_NO_ENCONTRADA
RB	100098075	1000075	FACTURA_NO_ENCONTRADA
RB	100098080	1000075	FACTURA_NO_ENCONTRADA
RB	100098086	1000076	FACTURA_NO_ENCONTRADA
RB	100098086	1000076	FACTURA_NO_ENCONTRADA
RB	100098086	1000076	FACTURA_NO_ENCONTRADA
RB	100098088	1000076	FACTURA_NO_ENCONTRADA
RB	100098093	1000076	FACTURA_NO_ENCONTRADA
RB	100098096	1000076	FACTURA_NO_ENCONTRADA
RB	100098098	1000076	FACTURA_NO_ENCONTRADA
RB	100098098	1000076	FACTURA_NO_ENCONTRADA
RB	100098098	1000076	FACTURA_NO_ENCONTRADA
RB	100098098	1000076	FACTURA_NO_ENCONTRADA
RB	100098098	1000076	FACTURA_NO_ENCONTRADA
RB	100098118	1000077	FACTURA_NO_ENCONTRADA
RB	100098118	1000077	FACTURA_NO_ENCONTRADA
RB	100098118	1000077	FACTURA_NO_ENCONTRADA
RB	100098118	1000077	FACTURA_NO_ENCONTRADA
RB	100098118	1000077	FACTURA_NO_ENCONTRADA
RB	100098122	1000078	FACTURA_NO_ENCONTRADA
RB	100098125	1000078	FACTURA_NO_ENCONTRADA
RB	100098128	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098136	1000079	FACTURA_NO_ENCONTRADA
RB	100098137	1000079	FACTURA_NO_ENCONTRADA
RB	100098137	1000079	FACTURA_NO_ENCONTRADA
